Playlist,Followers,Songs,Songs (Capped),Genre 1,Genre 2,URI
,,,,,,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo
,,,,,,spotify:playlist:37i9dQZF1DX5qNE4zrflL7
,,,,,,spotify:playlist:37i9dQZF1DXb3ZjVksUlfu
,,,,,,spotify:playlist:37i9dQZF1DX8sGALGjOrTu
,,,,,,spotify:playlist:37i9dQZF1DWTSKFpOdYF1r
,,,,,,spotify:playlist:37i9dQZF1DX1wdZM1FEz79
,,,,,,spotify:playlist:37i9dQZF1DX3Cii9ioWjQP
,,,,,,spotify:playlist:37i9dQZF1DX37bXS7EGI3f
,,,,,,spotify:playlist:37i9dQZF1DXcfZ6moR6J0G
,,,,,,spotify:playlist:37i9dQZF1DX1cJWWyylDuw
,,,,,,spotify:playlist:37i9dQZF1DX7Ope5RE4ePQ
,,,,,,spotify:playlist:37i9dQZF1DX6DLB6M8zkNk
,,,,,,spotify:playlist:37i9dQZF1DWU2LcZVHsTdv
,,,,,,spotify:playlist:37i9dQZF1DX2LoKKKetKEw
,,,,,,spotify:playlist:37i9dQZF1DX23YPJntYMnh