Playlist,Followers,Songs,Genre 1,Genre 2,URI
Today’s Top Hits,"31,728,611",50,Pop,R&B,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
Feel Good Indie Rock,"1,664,372",120,Rock,Indie,spotify:playlist:37i9dQZF1DX2sUQwD7tbmL
Indie Rock Road Trip,"895,126",100,Rock,Indie,spotify:playlist:37i9dQZF1DWUoqEG4WY6ce
Rock N' Run,"490,726",50,Rock,Workout,spotify:playlist:37i9dQZF1DWXx3Txis2L4x
Rock This,"4,649,112",50,Rock,Alternative,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
Alt Now,"338,186",50,Rock,Alternative,spotify:playlist:37i9dQZF1DWVqJMsgEN0F4
Rock Hard,"850,600",150,Rock,Alternative,spotify:playlist:37i9dQZF1DWWJOmJ7nRx0C
Walk Like A Bad Ass,"2,231,729",55,Rock,Alternative,spotify:playlist:37i9dQZF1DX1tyCD9QhIWF
Adrenaline Workout,"1,997,943",150,Rock,Workout,spotify:playlist:37i9dQZF1DXe6bgV3TmZOL
Dirty Rock,"435,341",140,Rock,Alternative,spotify:playlist:37i9dQZF1DWY6vTWIdZ54A
Hard Rock,"266,161",51,Rock,Metal,spotify:playlist:37i9dQZF1DX1X7WV84927n
Rockin' Vibes,"460,671",100,Rock,Indie,spotify:playlist:37i9dQZF1DX2aneNMeYHQ8
Hot Hits USA,"762,848",50,Pop,Pop,spotify:playlist:37i9dQZF1DX0kbJZpiYdZl
Pop Rising,"2,642,529",87,Pop,Indie,spotify:playlist:37i9dQZF1DWUa8ZRTfalHk
Bedroom Pop,"1,027,121",115,Pop,Indie,spotify:playlist:37i9dQZF1DXcxvFzl58uP7
Pumped Pop,"1,267,488",75,Pop,Workout,spotify:playlist:37i9dQZF1DX5gQonLbZD9s
Just Good Music,"768,845",59,Pop,Adult Contemporary,spotify:playlist:37i9dQZF1DX0b1hHYQtJjp
Sad Bops,"456,898",80,Pop,Pop,spotify:playlist:37i9dQZF1DWZUAeYvs88zc
Indie Pop,"1,707,366",75,Pop,Indie,spotify:playlist:37i9dQZF1DWWEcRhUVtL8n
Pollen,"1,329,707",112,Pop,Indie,spotify:playlist:37i9dQZF1DWWBHeXOYZf74
Beast Mode,"9,209,707",200,Pop,Workout,spotify:playlist:37i9dQZF1DX76Wlfdnj7AP
Metropolis,"806,071",100,Indie,Electronic,spotify:playlist:37i9dQZF1DX8CopunbDxgW
My Life Is A Dream,"1,678,074",100,Indie,Pop,spotify:playlist:37i9dQZF1DX4OzrY981I1W
Undercurrents,"265,342",125,Indie,Rock,spotify:playlist:37i9dQZF1DX9myttyycIxA
idk.,"885,612",100,Indie ,Pop,spotify:playlist:37i9dQZF1DX59NCqCqJtoH
soda,"197,975",80,Indie,Pop,spotify:playlist:37i9dQZF1DXaK0O81Xtkis
vaporwave,"195,618",100,Indie,Electronic,spotify:playlist:37i9dQZF1DWU4EQPjP9ZpS
mint,"5,931,334",100,Indie,Electronic,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
Retrowave,"876,876",150,Electronic,Gaming,spotify:playlist:37i9dQZF1DXdLEN7aqioXM
Crying On The Dance Floor,"115,907",75,Electronic,Pop,spotify:playlist:37i9dQZF1DXayr1BrK1OaY
Summer Dance Hits,"119,251",120,Electronic,Pop,spotify:playlist:37i9dQZF1DWZ7eJRBxKzdO
Altar,"404,714",116,Electronic,Indie,spotify:playlist:37i9dQZF1DXa71eg5j9dKZ
Genre Glitch,"450,914",50,Electronic,Gaming,spotify:playlist:37i9dQZF1DWUraJYejk11q
Workout Twerkout,"1,740,676",50,R&B,Workout,spotify:playlist:37i9dQZF1DX0HRj9P7NxeE
Are & Be,"5,952,290",49,R&B,Pop,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
Alternative R&B,"1,288,651",100,R&B,Alternative,spotify:playlist:37i9dQZF1DWSfMe9z89s9B
Funk Outta Here,"765,827",80,R&B,Funk,spotify:playlist:37i9dQZF1DX70TzPK5buVf
In The Name Of The Blues,"461,075",49,Blues,Rock,spotify:playlist:37i9dQZF1DXcnkReojaCnV
Blues & Roots Rock,"578,302",150,Blues,Rock,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ
Funky Heavy Bluesy,"840,200",69,Blues,Rock,spotify:playlist:37i9dQZF1DX9stbPFTxeaB
Modern Blues Rock,"132,151",50,Blues,Rock,spotify:playlist:37i9dQZF1DX7Y7BqFok9IQ
Blues Roots,"414,002",75,Blues,Roots,spotify:playlist:37i9dQZF1DXcFk5r8uS3l2
Acoustic Blues,"669,948",100,Blues,Acoustic,spotify:playlist:37i9dQZF1DX2iUghHXGIjj
Hyperpop,"342,738",100,Pop,Electronic,spotify:playlist:37i9dQZF1DX7HOk71GPfSw
SALT,"295,173",70,Pop,Rock,spotify:playlist:37i9dQZF1DX6tPTxr8qwRe
RapCaviar,"14,617,674",49,Rap,Pop,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
Feelin' Myself,"2,297,088",50,Rap,Pop,spotify:playlist:37i9dQZF1DX6GwdWRQMQpq
Rap Workout,"1,782,723",59,Rap,Workout,spotify:playlist:37i9dQZF1DX76t638V6CA8
Alternative Hip-Hop,"882,008",50,Rap,Alternative,spotify:playlist:37i9dQZF1DWTggY0yqBxES
Get Turnt,"6,279,639",100,Rap,Pop,spotify:playlist:37i9dQZF1DWY4xHQp97fN6
Country Nights,"541,201",100,Country,Roots,spotify:playlist:37i9dQZF1DWXi7h4mmmkzD
Country Gold,"2,012,702",110,Country,Pop,spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU
Field Party,"143,920",89,Country,Rap,spotify:playlist:37i9dQZF1DXc0fQ4sGOnVJ
Drinkin' Songs,"130,993",95,Country,Pop,spotify:playlist:37i9dQZF1DX3ph0alWhOXm
Serotonin,"359,779",50,Electronic,Pop,spotify:playlist:37i9dQZF1DWYMroOc5KTTh
Lorem,"928,979",100,Indie,Pop,spotify:playlist:37i9dQZF1DXdwmD5Q7Gxah
free refills,"148,057",100,Indie,Pop,spotify:playlist:37i9dQZF1DX3Tjn540kLxZ
Golden Hour,"382,223",80,Electronic,Indie,spotify:playlist:37i9dQZF1DWUE76cNNotSg
Progressive Metal,"472,025",200,Metal,Rock,spotify:playlist:37i9dQZF1DX5wgKYQVRARv
Heavy Metal,"949,500",200,Metal,Rock,spotify:playlist:37i9dQZF1DX9qNs32fujYe
Kickass Metal,"1,310,424",60,Metal,Rock,spotify:playlist:37i9dQZF1DWTcqUzwhNmKv
The Core,"868,093",75,Metal,Rock,spotify:playlist:37i9dQZF1DWXIcbzpLauPS
Smooth Jazz,"357,412",75,Jazz,Instrumental,spotify:playlist:37i9dQZF1DXdwTUxmGKrdN
Acid Jazz,"218,325",90,Jazz,Rap,spotify:playlist:37i9dQZF1DWXHghfFFOaS6
Jazz Vibes,"2,090,217",300,Jazz,Instrumental,spotify:playlist:37i9dQZF1DX0SM0LYsmbMT
Jazz-Funk,"204,840",80,Jazz,Funk,spotify:playlist:37i9dQZF1DWUb0uBnlJuTi
Jazztronica,"535,218",80,Jazz,Electronic,spotify:playlist:37i9dQZF1DX55dNU0PWnO5
Sax and the City,"205,295",100,Jazz,Funk,spotify:playlist:37i9dQZF1DWYgA6FKKHSd6
Royalcore,"265,897",62,Classical,Instrumental,spotify:playlist:37i9dQZF1DX7Ope5RE4ePQ
medieval vibes,"191,304",52,Classical,Instrumental,spotify:playlist:37i9dQZF1DWXi6GqUgtvam
Dramatic Classical,"159,798",41,Classical,Instrumental,spotify:playlist:37i9dQZF1DX2aCk0vzzaZQ
Viva Latino,"12,143,909",50,Latin,Pop,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
Baila Reggaeton,"10,566,779",50,Latin,Reggaeton,spotify:playlist:37i9dQZF1DWY7IeIP1cdjF
La Lista Pop,"2,283,301",50,Latin,Pop,spotify:playlist:37i9dQZF1DWSpF87bP6JSF
Latin Cardio,"1,278,959",100,Latin,Workout,spotify:playlist:37i9dQZF1DWXmQEAjlxGhi
Fiesta! Fiesta!,"1,656,141",206,Latin,Pop,spotify:playlist:37i9dQZF1DX9KJJbsGEwfj
míticas,"228,225",100,Latin,Pop,spotify:playlist:37i9dQZF1DX2EiUAL7Wdfc
Mansión Reggaetón,"5,504,327",50,Latin,Rap,spotify:playlist:37i9dQZF1DWZjqjZMudx9T
Funk Hits,"4,797,416",50,Latin,Funk,spotify:playlist:37i9dQZF1DWTkIwO2HDifB
Teen Beats,"1,636,816",105,Pop,Indie,spotify:playlist:37i9dQZF1DWWvvyNmW9V9a
Just Hits,"2,530,451",95,Pop,Electronic,spotify:playlist:37i9dQZF1DXcRXFNfZr7Tp
It's A Hit!,"2,283,522",50,Pop,Alternative,spotify:playlist:37i9dQZF1DWT1y71ZcMPe5
Sleep,"4,556,379",220,Instrumental,Ambient,spotify:playlist:37i9dQZF1DWZd79rJ6a7lp
Peaceful Piano,"6,589,602",332,Instrumental,Ambient,spotify:playlist:37i9dQZF1DX4sWSpwq3LiO
Night Rain,"1,145,565",393,Instrumental,Ambient,spotify:playlist:37i9dQZF1DXbcPC6Vvqudd
Perfect Concentration,"669,868",382,Instrumental,Ambient,spotify:playlist:37i9dQZF1DWSluGMsH1R9r
Instrumental Study,"1,664,050",387,Instrumental,Ambient,spotify:playlist:37i9dQZF1DX9sIqqvKsjG8
Roots Rising,"1,832,109",100,Singer-Songwriter,Roots,spotify:playlist:37i9dQZF1DWYV7OOaGhoH0
Sad Songs,"1,408,799",70,Singer-Songwriter,Alternative,spotify:playlist:37i9dQZF1DX7qK8ma5wgG1
Fresh Folk,"739,217",150,Singer-Songwriter,Roots,spotify:playlist:37i9dQZF1DXaUDcU6KDCj4
Indigo,"393,228",125,Singer-Songwriter,Country,spotify:playlist:37i9dQZF1DWUgBy0IJPlHq
Top Christian & Gospel,"1,457,261",100,Christian,Gospel,spotify:playlist:37i9dQZF1DXcb6CQIjdqKy
Worship Now,"931,755",100,Christian,Gospel,spotify:playlist:37i9dQZF1DWVYgpMbMPJMz
K-Pop ON! ,"4,113,578",52,K-Pop,Pop,spotify:playlist:37i9dQZF1DX9tPFwDMOaN1
Korean OSTs,"1,461,851",100,K-Pop,Pop,spotify:playlist:37i9dQZF1DX2ohL85TE8TI
Beats & Rhymes,"403,154",100,Rap,K-Pop,spotify:playlist:37i9dQZF1DXcA6dRp8rwj6
The New Alt,"1,095,705",125,Alternative,Rock,spotify:playlist:37i9dQZF1DX82GYcclJ3Ug
Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4
Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1
phonk,"1,841,105",100,Electronic,Rap,spotify:playlist:37i9dQZF1DWWY64wDtewQt
,,,,,
TOTAL,"206,573,484","10,444",,,